idt,market,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc,Avg,Open,High,Low,Close
2011-11-30,sp6m,6.0,-0.01251311,0.205000164,-1.330365926,2.497725304,-0.286132327,0.03122417,0.194167764,-20.0,0.151633359,20.0,0.090969171,1308.1866760253906,0.06540979260312547,0.06861218587227008,0.01573810554350654,0.07407819085595578
2011-12-15,sp6m,6.0,-0.009858182,0.200710776,-1.214039529,2.197659285,-0.274570434,0.028598049,0.199499758,-20.0,0.149618927,20.0,0.099402019,1338.0527232776988,0.08920851976364541,0.11466438765493216,0.07410857459801913,0.11616682207947052
2011-12-30,sp6m,6.0,-0.005818487,0.176503287,-1.266491139,2.409743715,-0.236990217,0.02850321,0.176171031,-20.0,0.124514687,20.0,0.064088554,1353.9912414550781,0.07999131359150326,0.08911045909230336,0.05251674804405835,0.07590914369417742
2012-01-13,sp6m,6.0,-0.001419456,0.162608749,-1.358571673,2.663954989,-0.216217096,0.033460114,0.161984916,-20.0,0.110708383,20.0,0.042713286,1362.0041910807292,0.03485248695062156,0.0766182392681713,0.030670826415773192,0.06765406859064632
2012-01-31,sp6m,6.0,-0.000473019,0.143438927,-1.288333927,2.648034671,-0.18617625,0.026974409,0.147620703,-20.0,0.090142223,20.0,0.028755631,1393.1945356889205,0.05402991284004685,0.07174583378956666,0.03167796865779921,0.06854930895044749
2012-02-15,sp6m,6.0,-0.007258575,0.162293871,-1.422243533,2.946784158,-0.219122033,0.028095921,0.154428378,-20.0,0.112488733,20.0,0.034046245,1411.6940063476563,0.04416981867580085,0.06027295760950079,0.03999413693217086,0.048860008112387145
2012-02-29,sp6m,6.0,-0.004713153,0.148758623,-1.462955057,3.30819522,-0.194380345,0.026249614,0.143881198,-20.0,0.095998867,20.0,0.023777561,1426.6608276367188,0.03145476802650753,0.07667322541370664,0.022359599570716957,0.06759861970599337
2012-03-15,sp6m,6.0,-0.004188239,0.138802211,-1.426720693,3.259795142,-0.179633194,0.023003853,0.135878246,-20.0,0.086148227,20.0,0.018731089,1452.1589965820312,0.04381428107508677,0.04493953812512745,0.01971738574169778,0.02942867161454208
2012-03-30,sp6m,6.0,-0.003276852,0.126579216,-1.357610795,3.041834646,-0.163937202,0.020403185,0.126423969,-20.0,0.074299212,20.0,0.012378544,1445.4910034179688,0.022763947247936154,0.0434112342552267,0.012039706895554446,0.022229402628994234
2012-04-13,sp6m,6.0,-0.002862891,0.144185273,-1.330172503,2.818402919,-0.187971071,0.024947259,0.144867874,-20.0,0.091688511,20.0,0.026113709,1432.7079833984376,0.04179942614425114,0.06618558000619555,0.023811864448181747,0.030119961320247655
2012-04-30,sp6m,6.0,-0.00023101,0.126203209,-1.38034331,3.041492734,-0.162244267,0.024428543,0.127955204,-20.0,0.073081929,20.0,0.011897115,1396.5036399147727,0.009313290244782347,0.02567773408305954,-0.03302355676894704,-0.03241009909112174
2012-05-15,sp6m,6.0,-0.009651836,0.163829751,-1.284898914,2.370562844,-0.226407177,0.024533205,0.15786103,-20.0,0.118209313,20.0,0.038813006,1391.9200073242187,0.018428931370930164,0.06477046185933716,0.009491390552608503,0.06228805832855284
2012-05-31,sp6m,6.0,-0.009385924,0.174598193,-1.409788929,2.877341681,-0.237374282,0.027891136,0.164681996,-20.0,0.123379152,20.0,0.049655866,1416.8299926757813,0.07752166908044686,0.09338446311642067,0.06492815670611006,0.07584648221257317
2012-06-14,sp6m,6.0,-0.004922068,0.168378886,-1.516306491,3.277466107,-0.223242266,0.032728683,0.159610568,-20.0,0.11401421,20.0,0.039971665,1429.4411078559028,0.06576743516460476,0.0856812908872427,0.0532551568402524,0.05370448151788263
2012-06-28,sp6m,6.0,-0.004827921,0.156734651,-1.425604113,2.911149815,-0.211115612,0.030051577,0.150326926,-20.0,0.107392418,20.0,0.031223862,1454.1110107421875,0.06486102378152438,0.10267449493205827,0.05066440758534113,0.10126800889874202
2012-07-12,sp6m,6.0,-0.004690625,0.142884522,-1.225041593,2.365759729,-0.190785488,0.021619523,0.144000253,-20.0,0.093529618,20.0,0.027189334,1485.302218967014,0.09790451256507199,0.11888458193897235,0.09225696661958478,0.11683362898554363
2012-07-26,sp6m,6.0,-0.002893161,0.137982774,-1.230433019,2.503011899,-0.180855907,0.021658464,0.141163965,-20.0,0.086332886,20.0,0.0246423,1506.7700073242188,0.09993705110334201,0.11009849290619698,0.09464017786060885,0.10924187885671115
2012-08-09,sp6m,6.0,-0.008336702,0.141728113,-1.272933973,2.296521942,-0.197609848,0.021354604,0.136717735,-20.0,0.098069895,20.0,0.017797798,1517.6499972873264,0.0788773258960322,0.08741161347118978,0.06518655944822595,0.058861834377518775
2012-08-23,sp6m,6.0,-0.008238068,0.148913298,-1.237722548,2.246945422,-0.205357677,0.021255303,0.1456942,-20.0,0.103871018,20.0,0.027373602,1514.0928431919642,0.07785456707133481,0.0960762924615853,0.05746469583239702,0.09477317693248098
2012-09-06,sp6m,6.0,-0.005323557,0.137517492,-1.336589744,2.619018024,-0.186085352,0.023246789,0.134042692,-20.0,0.090061293,20.0,0.015492932,1552.4489868164062,0.07249020835882129,0.08784778222653074,0.07139851995798548,0.08470267053354077
2012-09-20,sp6m,6.0,-0.005621516,0.121198146,-1.192438176,2.327328108,-0.162594789,0.015725194,0.121775264,-20.0,0.071887503,20.0,0.010549193,1559.5009887695312,0.05856885847356071,0.07478962947147114,0.05547048123413509,0.06605847940138117
2012-10-04,sp6m,6.0,-0.004355687,0.118608501,-1.191582044,2.412177339,-0.157360329,0.015926189,0.121058646,-20.0,0.067397477,20.0,0.009935334,1569.3829833984375,0.061237812052590344,0.08895109378234049,0.05206279130149662,0.05343241828101594
2012-10-18,sp6m,6.0,-0.004403089,0.114526099,-1.069908551,2.061628362,-0.152104277,0.013255274,0.119152048,-20.0,0.062306969,20.0,0.010607186,1575.056667751736,0.06295093759994151,0.09187085840784803,0.052588352110201776,0.08251938575828367
2012-11-01,sp6m,6.0,-0.002344621,0.119409867,-1.161525653,2.271644851,-0.156889983,0.017955002,0.124293379,-20.0,0.066973185,20.0,0.01141243,1621.533984375,0.11248355234480402,0.1454540337652399,0.1022469802691871,0.15009472616662953
2012-11-15,sp6m,6.0,-0.01226911,0.141227716,-1.037786585,1.63379681,-0.200652083,0.012153844,0.139518751,-20.0,0.100613829,20.0,0.02455291,1658.6322292751736,0.19767968967258587,0.22049033857136194,0.18939873933888562,0.19721265593023823
2012-11-29,sp6m,6.0,-0.008926384,0.123709993,-1.133930714,2.036466771,-0.171902992,0.012981557,0.121939292,-20.0,0.077903548,20.0,0.011289844,1632.8736572265625,0.15694851778514052,0.16016691447969605,0.12109610524973839,0.14467360449199118
2012-12-13,sp6m,6.0,-0.009177246,0.126933188,-0.981489234,1.578074461,-0.17658517,0.010434731,0.129438649,-20.0,0.081039598,20.0,0.016944621,1612.78701171875,0.12729926876744294,0.15304198937686236,0.09462787094687736,0.12795031550832078
2012-12-27,sp6m,6.0,-0.007630692,0.136496098,-1.159899479,1.942094926,-0.191701581,0.018892355,0.134913882,-20.0,0.094036908,20.0,0.019448209,1623.5749816894531,0.12470258386025825,0.15398751996681434,0.1213480162172093,0.15304397413008106
2013-01-10,sp6m,6.0,-0.005964462,0.112827121,-1.083202225,1.904764637,-0.154080371,0.013135422,0.114733424,-20.0,0.063889442,20.0,0.007339956,1681.6880004882812,0.11501679586888383,0.14320682821102101,0.11265258486083282,0.13561970159722048
2013-01-24,sp6m,6.0,-0.004665685,0.101446833,-1.053529762,1.845878006,-0.138035642,0.012279862,0.104440072,-20.0,0.049584015,20.0,0.003538311,1694.5909912109375,0.12630218632475781,0.13429463281423235,0.11442215681629275,0.1232611034441729
